DETID,SRCID,OBS_ID,EP_8_FLUX,EP_8_FLUX_ERR,SC_RA,SC_DEC,SC_POSERR
100992801010002,200992801010002,XMM 0099280101,1.1706677e-11,2.839724e-13,166.1016826277149,38.188132809279566,0.4613525
101589712010002,200992801010001,XMM 0158971201,1.1023674e-09,7.4272375e-13,166.113603675929,38.20882474698044,0.07603922
106563801010001,200992801010001,XMM 0656380101,6.5649447e-10,7.824485e-13,166.113603675929,38.20882474698044,0.07603922
107417327010002,207417327010002,XMM 0741732701,3.0800175e-11,6.141072e-12,170.24832048861,-61.429520229231,2.0053926
102046501010002,202046501010002,XMM 0204650101,2.3731945e-11,1.1887909e-12,179.33200255724,55.094050530702,2.6641114
101123101010001,201123101010001,XMM 0112310101,5.5960337e-11,1.5523661e-13,182.63570504641007,39.40586514034975,0.04524697
101100118015025,201100118015025,XMM 0110011801,1.820901e-11,4.8322495e-13,350.8166434791262,58.80445244222903,1.3612905
106748103010018,206748103010018,XMM 0674810301,1.2191075e-11,4.2362984e-12,185.53841235417997,58.191099804763994,7.563975
106748103010017,206748103010017,XMM 0674810301,1.479729e-10,1.0055376e-11,186.29929784115,58.246938652518,16.455715
108235804010003,208235804010003,XMM 0823580401,1.0680985e-11,7.229229e-13,192.16574733815003,-41.315860574947,1.327594
108235804010001,200463401010001,XMM 0823580401,3.6759092e-11,4.2032998e-13,192.20528750852483,-41.31097874709228,0.16357568
100321412010004,200321412010004,XMM 0032141201,1.017942e-11,4.2590543e-13,196.05976368506,-10.339566896619,0.62796533
106938202010002,206938202010002,XMM 0693820201,1.0476114e-11,7.101753e-13,197.85954572342,-1.342309262542,1.2020515
106938201010001,200930301010001,XMM 0693820101,4.2826638e-11,6.698345e-13,197.87300745435138,-1.341807296916072,0.32035026
106503826010009,206503826010009,XMM 0650382601,3.050486e-11,6.0971393e-12,200.66321982383,31.538652364934,13.2603655
105048104010003,201100107010002,XMM 0504810401,1.9318878e-11,4.9251107e-14,220.2595740683463,-62.71833846196064,0.9580125
